Please enter your Participant ID,1. I found the system to be intuitive,2. The system was easy to use,3. How much did the used system reflect your desired tempo?,4. It took me a long time to understand how the system works,5. I was able to express my desired intentions,6. I felt music was synchronised with my hand movements,7. I found the system to be versatile,8. I was satisfied with the overall sound of the system,9. I would use this system in a performance,10. I would use this system to explore expressivity
1,2,2,4,3,1,1,2,1,1,3
2,5,5,4,1,4,3,2,3,5,5
3,2,3,2,4,2,2,2,2,2,3
4,5,5,4,1,5,5,4,5,5,4
5,3,3,3,1,4,3,3,3,4,4
6,5,4,3,3,2,2,2,3,2,2
7,5,5,5,4,5,5,5,5,5,5
8,5,5,5,5,5,5,5,5,5,5
9,2,2,2,4,3,3,3,3,4,4
10,5,5,4,1,5,4,5,5,5,5
11,5,5,5,1,3,4,3,3,3,4
12,5,5,5,1,5,5,5,5,4,5
13,5,4,5,4,4,4,5,5,5,4
14,3,3,3,2,3,2,3,3,2,2
15,5,5,5,1,5,5,5,5,5,5
